  #Energy        TDOS
-13.257623        2.109133
-13.229623        2.153261
-13.200623        2.199559
-13.171623        2.246336
-13.143623        2.291948
-13.114623        2.339639
-13.085623        2.387750
-13.057623        2.434566
-13.028623        2.483387
-13.000623        2.530721
-12.971623        2.579818
-12.942623        2.629495
-12.914623        2.678761
-12.885623        2.731309
-12.856623        2.784655
-12.828623        2.836217
-12.799623        2.889533
-12.771623        2.940829
-12.742623        2.993667
-12.713623        3.046172
-12.685623        3.096614
-12.656623        3.148654
-12.627623        3.200376
-12.599623        3.249852
-12.570623        3.300544
-12.542623        3.348942
-12.513623        3.398662
-12.484623        3.448354
-12.456623        3.496682
-12.427623        3.547388
-12.398623        3.598994
-12.370623        3.649926
-12.341623        3.704083
-12.312623        3.760242
-12.284623        3.818202
-12.255623        3.883379
-12.227623        3.952007
-12.198623        4.029771
-12.169623        4.113044
-12.141623        4.196316
-12.112623        4.283795
-12.083623        4.372433
-12.055623        4.459527
-12.026623        4.546353
-11.998623        4.621631
-11.969623        4.693464
-11.940623        4.764297
-11.912623        4.833807
-11.883623        4.907119
-11.854623        4.981910
-11.826623        5.055704
-11.797623        5.134047
-11.768623        5.214783
-11.740623        5.295577
-11.711623        5.383476
-11.683623        5.467994
-11.654623        5.545946
-11.625623        5.616967
-11.597623        5.684531
-11.568623        5.752681
-11.539623        5.818888
-11.511623        5.881692
-11.482623        5.946348
-11.454623        6.008690
-11.425623        6.073215
-11.396623        6.137638
-11.368623        6.199644
-11.339623        6.263560
-11.310623        6.330956
-11.282623        6.399808
-11.253623        6.470597
-11.225623        6.539365
-11.196623        6.613779
-11.167623        6.692601
-11.139623        6.777049
-11.110623        6.879970
-11.081623        6.977961
-11.053623        7.058209
-11.024623        7.139931
-10.995623        7.220189
-10.967623        7.295845
-10.938623        7.372883
-10.910623        7.446131
-10.881623        7.519806
-10.852623        7.590986
-10.824623        7.657108
-10.795623        7.722677
-10.766623        7.785868
-10.738623        7.852998
-10.709623        7.916769
-10.681623        7.961401
-10.652623        7.992177
-10.623623        8.006969
-10.595623        8.013165
-10.566623        8.014861
-10.537623        8.014976
-10.509623        8.014976
-10.480623        8.014976
-10.451623        8.014976
